Date,App_Name,Category,Minutes_Used
2026-07-17,Instagram,Social Media,120
2026-07-17,YouTube,Entertainment,90
2026-07-17,VS Code,Coding,180
2026-07-17,ChatGPT,Education,60
2026-07-18,Instagram,Social Media,140
2026-07-18,YouTube,Entertainment,80
2026-07-18,VS Code,Coding,200
2026-07-18,ChatGPT,Education,70
2026-07-19,Instagram,Social Media,100
2026-07-19,Netflix,Entertainment,120
2026-07-19,VS Code,Coding,150
2026-07-19,ChatGPT,Education,90
2026-07-20,Instagram,Social Media,130
2026-07-20,YouTube,Entertainment,100
2026-07-20,VS Code,Coding,210
2026-07-20,ChatGPT,Education,80
2026-07-21,Instagram,Social Media,110
2026-07-21,YouTube,Entertainment,95
2026-07-21,VS Code,Coding,170
2026-07-21,ChatGPT,Education,60
2026-07-22,Instagram,Social Media,125
2026-07-22,Netflix,Entertainment,105
2026-07-22,VS Code,Coding,220
2026-07-22,ChatGPT,Education,75
2026-07-23,Instagram,Social Media,135
2026-07-23,YouTube,Entertainment,110
2026-07-23,VS Code,Coding,180
2026-07-23,ChatGPT,Education,65
2026-07-24,Instagram,Social Media,145
2026-07-24,Netflix,Entertainment,90
2026-07-24,VS Code,Coding,210
2026-07-24,ChatGPT,Education,70
2026-07-25,Instagram,Social Media,120
2026-07-25,YouTube,Entertainment,95
2026-07-25,VS Code,Coding,200
2026-07-25,ChatGPT,Education,80
2026-07-26,Instagram,Social Media,130
2026-07-26,Netflix,Entertainment,100
2026-07-26,VS Code,Coding,190
2026-07-26,ChatGPT,Education,75
2026-07-27,Instagram,Social Media,140
2026-07-27,YouTube,Entertainment,90
2026-07-27,VS Code,Coding,210
2026-07-27,ChatGPT,Education,85
2026-07-28,Instagram,Social Media,125
2026-07-28,Netflix,Entertainment,115
2026-07-28,VS Code,Coding,220
2026-07-28,ChatGPT,Education,80
2026-07-29,Instagram,Social Media,135
2026-07-29,YouTube,Entertainment,105
2026-07-29,VS Code,Coding,230
2026-07-29,ChatGPT,Education,90
2026-07-30,Instagram,Social Media,150
2026-07-30,Netflix,Entertainment,120
2026-07-30,VS Code,Coding,240
2026-07-30,ChatGPT,Education,100
